principio_ativo;principio_ativo_norm;apresentacao;concentracao;setor_uso;rxcui;anvisa_registro;anvisa_produto;anvisa_situacao;anvisa_empresa;anvisa_ativos;status
Sulfato de magnesio 50%;sulfato de magnesio 50;Ampola 10 mL;500 mg/mL;Emergencia, UTI;6585;103900024;LIBIGASTRIN;Inativo;33349473000158 - FARMOQU�MICA S/A;10;rxcui_ok anvisa_ok
Gluconato de calcio 10%;gluconato de calcio 10;Ampola 10 mL;100 mg/mL;Emergencia, UTI;1908;100850041;GLUCONATO DE CALCIO;Inativo;31673254000102 - LABORATORIOS B. BRAUN S/A;5;rxcui_ok anvisa_ok
Cloreto de calcio 10%;cloreto de calcio 10;Ampola 10 mL;100 mg/mL;Emergencia, UTI;1901;137790003;AMINO CAL;Inativo;01454607000104 - NOSSA SENHORA APARECIDA IMP. E EXP. COM . LTDA;1;rxcui_ok anvisa_ok
Bicarbonato de sodio 8,4%;bicarbonato de sodio 8 4;Ampola 10 mL;8,4%;Emergencia, UTI;36676;116880006;FARMACART;Ativo;58635830000175 - FARMARIN INDUSTRIA E COMERCIO LTDA;32;rxcui_ok anvisa_ok
Cloreto de sodio 20%;cloreto de sodio 20;Ampola 10 mL;20%;Clinica, UTI;9863;105830604;NARIDRIN H;Inativo;45992062000165 - GERMED FARMACEUTICA LTDA;125;rxcui_ok anvisa_ok
Glicose 5%;glicose 5;Frasco 500 mL;5%;Clinica, Emergencia;1299920;102270005;SOLU��O GLICOSADA MADREVITA;Inativo;05866579000193 - LABORAT�RIO MADREVITA LTDA;29;rxcui_ok anvisa_ok
Glicose 10%;glicose 10;Frasco 500 mL;10%;Clinica, Emergencia, Pediatria;1299920;102270005;SOLU��O GLICOSADA MADREVITA;Inativo;05866579000193 - LABORAT�RIO MADREVITA LTDA;28;rxcui_ok anvisa_ok
Glicose 25%;glicose 25;Ampola 10 mL;25%;Pediatria, Emergencia;1299920;102270005;SOLU��O GLICOSADA MADREVITA;Inativo;05866579000193 - LABORAT�RIO MADREVITA LTDA;28;rxcui_ok anvisa_ok
Glicose 50%;glicose 50;Ampola 10 mL;50%;Emergencia, UTI;1299920;102270005;SOLU��O GLICOSADA MADREVITA;Inativo;05866579000193 - LABORAT�RIO MADREVITA LTDA;28;rxcui_ok anvisa_ok
Soro fisiologico 0,9%;soro fisiologico 0 9;Frasco 500 mL;0,9%;Clinica, Emergencia, Pediatria;9863;;;;;0;rxcui_ok
Soro glicofisiologico;soro glicofisiologico;Frasco 500 mL;5% + 0,9%;Clinica, Emergencia;20623;;;;;0;rxcui_ok
Ringer lactato;ringer lactato;Frasco 500 mL;Eletrolitico;Emergencia, UTI, Clinica;2877;;;;;0;rxcui_ok
Albumina humana 20%;albumina humana 20;Frasco 50 mL;20%;UTI, Emergencia;828529;127100001;ALBIOPLAS;Ativo;58909098000184 - LEADER PHARMA DISTRIBUIDORA E IMPORTADORA DE PRODUTOS FARMACEUT;37;rxcui_ok anvisa_ok
Heparina nao fracionada;heparina nao fracionada;Frasco 5 mL;5000 UI/mL;UTI, Emergencia;235473;;;;;0;rxcui_ok
Enoxaparina;enoxaparina;Seringa preenchida 0,6 mL;60 mg;UTI, Emergencia, Clinica;67108;188300021;CUTENOX;Ativo;11643096000122 - VIATRIS FARMACEUTICA DO BRASIL LTDA;18;rxcui_ok anvisa_ok
Fondaparinux;fondaparinux;Seringa preenchida;2,5 mg;Clinica, UTI;321208;137640153;ARIXTRA;Ativo;02433631000120 - ASPEN PHARMA IND�STRIA FARMAC�UTICA LTDA;3;rxcui_ok anvisa_ok
Protamina;protamina;Ampola 5 mL;10 mg/mL;UTI, Cirurgia;236471;105750040;PROTAMINA;Inativo;61186136000122 - VALEANT FARMAC�UTICA DO BRASIL LTDA;2;rxcui_ok anvisa_ok
Fitomenadiona (Vit K);fitomenadiona vit k;Ampola 1 mL;10 mg/mL;Clinica, Emergencia;8308;102980115;KAVIT;Ativo;44734671000151 - CRIST�LIA PRODUTOS QU�MICOS FARMAC�UTICOS LTDA.;9;rxcui_ok anvisa_ok
Acetilcisteina;acetilcisteina;Ampola 3 mL;100 mg/mL;Emergencia;197;167730211;ACETILCISTE�NA;Inativo;05044984000126 - LEGRAND PHARMA IND�STRIA FARMAC�UTICA LTDA;66;rxcui_ok anvisa_ok
Naloxona;naloxona;Ampola 1 mL;0,4 mg/mL;Emergencia;203192;114020078;CLORIDRATO DE NALOXONA;Inativo;06629745000109 - NOVAFARMA IND�STRIA FARMAC�UTICA LTDA;5;rxcui_ok anvisa_ok
Flumazenil;flumazenil;Ampola 5 mL;0,1 mg/mL;Emergencia, UTI;4457;120690027;FLUMILIB;Inativo;94869054000131 - LABORAT�RIOS LIBRA DO BRASIL LTDA;17;rxcui_ok anvisa_ok
Carvão ativado;carvao ativado;Frasco 120 mL;Suspensao;Emergencia;272;;;;;0;rxcui_ok
Dipirona;dipirona;Ampola 2 mL;500 mg/mL;Emergencia, Clinica, Pediatria;3523;118190007;MULTIRALGIM;Inativo;92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;167;rxcui_ok anvisa_ok
Paracetamol;paracetamol;Frasco 100 mL;10 mg/mL;Emergencia, Clinica, Pediatria;161;126750089;PARACETAMOL;Inativo;72593791000111 - NOVA QUIMICA FARMAC�UTICA S/A;261;rxcui_ok anvisa_ok
Morfina;morfina;Ampola 1 mL;10 mg/mL;Emergencia, UTI;235751;102980605;DIMORF BOLSA;Ativo;44734671000151 - CRIST�LIA PRODUTOS QU�MICOS FARMAC�UTICOS LTDA.;24;rxcui_ok anvisa_ok
Tramadol;tramadol;Ampola 2 mL;50 mg/mL;Clinica, Emergencia;10689;105730712;ANANGOR;Inativo;60659463002992 - ACH� LABORAT�RIOS FARMAC�UTICOS S.A;111;rxcui_ok anvisa_ok
Fentanila;fentanila;Ampola 2 mL;50 mcg/mL;UTI, Emergencia, Anestesia;142436;155730048;FENTORA;Ativo;05333542000108 - TEVA FARMAC�UTICA LTDA.;45;rxcui_ok anvisa_ok
Codeina;codeina;Ampola 2 mL;30 mg/mL;Clinica;1008493;;;;;0;rxcui_ok
Cetoprofeno;cetoprofeno;Ampola 2 mL;100 mg;Emergencia, Clinica;6142;103700280;TEUTO-CETOPROFENO;Inativo;17159229000176 - LABORAT�RIO TEUTO BRASILEIRO S/A;87;rxcui_ok anvisa_ok
Tenoxicam;tenoxicam;Frasco 20 mg po;20 mg;Emergencia, Clinica;37790;100470486;TENOXICAM;Inativo;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;37;rxcui_ok anvisa_ok
Cetorolaco;cetorolaco;Ampola 1 mL;30 mg/mL;Emergencia;35827;135690172;CETOROLACO DE TROMETAMINA;Inativo;00923140000131 - EMS SIGMA PHARMA LTDA;1;rxcui_ok anvisa_ok
Dexametasona;dexametasona;Ampola 1 mL;4 mg/mL;Emergencia, Clinica, Pediatria;22690;150820035;DEXAMERAL;Inativo;04216501000160 - ASTA M�DICA-ONCOLOGIA LTDA;54;rxcui_ok anvisa_ok
Hidrocortisona;hidrocortisona;Frasco 100 mg po;100 mg;Emergencia, Clinica;1007334;135690378;HIDROCORTISONA;Inativo;00923140000131 - EMS SIGMA PHARMA LTDA;13;rxcui_ok anvisa_ok
Metilprednisolona;metilprednisolona;Frasco 125 mg po;125 mg;Emergencia, Clinica;155323;109740118;ALERGOLON;Inativo;49475833000106 - BIOLAB SANUS FARMAC�UTICA LTDA;2;rxcui_ok anvisa_ok
Ondansetrona;ondansetrona;Ampola 4 mL;2 mg/mL;Emergencia, Clinica, Pediatria;203148;151430093;KEMYZA;Ativo;03978166000175 - DR. REDDYS FARMAC�UTICA DO BRASIL LTDA;7;rxcui_ok anvisa_ok
Metoclopramida;metoclopramida;Ampola 2 mL;5 mg/mL;Emergencia, Clinica, Pediatria;267035;104070026;IVB METOCLOPRAMIDA;Inativo;30064034000100 - INSTITUTO VITAL BRAZIL S/A;7;rxcui_ok anvisa_ok
Bromoprida;bromoprida;Ampola 2 mL;5 mg/mL;Clinica, Pediatria;19768;105830681;BROMOPRIDA;Ativo;45992062000165 - GERMED FARMACEUTICA LTDA;81;rxcui_ok anvisa_ok
Dimenidrinato;dimenidrinato;Ampola 1 mL;50 mg/mL;Emergencia, Clinica;3444;120190090;NAUSEDRINATO;Inativo;33408105000133 - GREENPHARMA QU�MICA E FARMAC�UTICA LTDA;15;rxcui_ok anvisa_ok
Prometazina;prometazina;Ampola 2 mL;25 mg/mL;Emergencia, Clinica;142445;113000320;CREMEFENERGAN;Inativo;02685377000157 - SANOFI-AVENTIS FARMAC�UTICA LTDA;8;rxcui_ok anvisa_ok
Haloperidol;haloperidol;Ampola 1 mL;5 mg/mL;Emergencia, Clinica;217483;101810193;PERLADOL;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;25;rxcui_ok anvisa_ok
Escopolamina;escopolamina;Ampola 1 mL;20 mg/mL;Emergencia, Clinica;56092;110850043;BUTILBROMETO DE ESCOPOLAMINA;Ativo;06628333000146 - FARMACE IND�STRIA QU�MICO-FARMAC�UTICA CEARENSE LTDA;106;rxcui_ok anvisa_ok
Omeprazol;omeprazol;Frasco 40 mg po;40 mg;Emergencia, Clinica, UTI;283742;104070073;IVB-OMEPRAZOL;Inativo;30064034000100 - INSTITUTO VITAL BRAZIL S/A;97;rxcui_ok anvisa_ok
Pantoprazol;pantoprazol;Frasco 40 mg po;40 mg;Clinica, UTI;40790;155840457;PANTONEO;Inativo;05161069000110 - BRAINFARMA IND�STRIA QU�MICA E FARMAC�UTICA S.A;19;rxcui_ok anvisa_ok
Ranitidina;ranitidina;Ampola 2 mL;25 mg/mL;Clinica;203136;100330081;HELICID;Inativo;61230314000175 - LIBBS FARMAC�UTICA LTDA;5;rxcui_ok anvisa_ok
Octreotida;octreotida;Ampola 1 mL;0,1 mg/mL;UTI, Clinica;221130;113980029;OCTREOSCAN;Inativo;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;1;rxcui_ok anvisa_ok
Ampicilina;ampicilina;Frasco 1 g po;1 g;Emergencia, Pediatria, Clinica;733;101810290;PARENZYME AMPICILINA;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;32;rxcui_ok anvisa_ok
Ampicilina + sulbactam;ampicilina sulbactam;Frasco 1,5 g po;1 g + 0,5 g;Emergencia, Clinica;1009148;101810290;PARENZYME AMPICILINA;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;53;rxcui_ok anvisa_ok
Amoxicilina + clavulanato;amoxicilina clavulanato;Frasco 1,2 g po;1 g + 200 mg;Emergencia, Clinica, Pediatria;19711;141070119;CLAXILINA;Inativo;02501297000102 - PHARLAB IND�STRIA FARMAC�UTICA S.A.;183;rxcui_ok anvisa_ok
Oxacilina;oxacilina;Frasco 500 mg po;500 mg;Emergencia, Clinica, Pediatria;7773;108580070;OXACICLINA;Inativo;51603488000182 - PRODOTTI LABORAT�RIO FARMAC�UTICO LTDA.;1;rxcui_ok anvisa_ok
Cefalotina;cefalotina;Frasco 1 g po;1 g;Emergencia, Clinica;2236;174200013;CEFALOTINA S�DICA;Ativo;44639493000180 - EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;32;rxcui_ok anvisa_ok
Cefazolina;cefazolina;Frasco 1 g po;1 g;Cirurgia, Clinica;2180;101800262;CEFAZOLINA;Inativo;56998982000107 - BRISTOL-MYERS SQUIBB FARMAC�UTICA LTDA;1;rxcui_ok anvisa_ok
Cefuroxima;cefuroxima;Frasco 750 mg po;750 mg;Clinica, Emergencia;2194;126030046;CEFUNORTH;Inativo;74019670000196 - �TACA LABORAT�RIOS LTDA;1;rxcui_ok anvisa_ok
Ceftriaxona;ceftriaxona;Frasco 1 g po;1 g;Emergencia, Clinica, Pediatria;2193;102700088;TRIAXTON;Inativo;61391769000172 - ARISTON INDS QUIMS FTCAS LTDA;5;rxcui_ok anvisa_ok
Ceftazidima;ceftazidima;Frasco 1 g po;1 g;UTI, Clinica;2191;174200005;CEFTAZIDIMA;Ativo;44639493000180 - EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;6;rxcui_ok anvisa_ok
Cefepima;cefepima;Frasco 1 g po;1 g;UTI, Clinica;20481;112830049;CEFEPITAX;Inativo;52208733000110 - LABORATORIO ITAFARMA LTDA;1;rxcui_ok anvisa_ok
Piperacilina + tazobactam;piperacilina tazobactam;Frasco 4,5 g po;4 g + 0,5 g;UTI, Clinica;74169;137640111;PIPERACILINA S�DICA + TAZOBACTAM S�DICO;Inativo;02433631000120 - ASPEN PHARMA IND�STRIA FARMAC�UTICA LTDA;25;rxcui_ok anvisa_ok
Meropenem;meropenem;Frasco 1 g po;1 g;UTI;29561;102010055;MEROXIL;Inativo;33036815000180 - QUIMICA HALLER LTDA;3;rxcui_ok anvisa_ok
Imipenem + cilastatina;imipenem cilastatina;Frasco 500 mg po;500 mg;UTI;34482;102010053;PENEXIL;Ativo;33036815000180 - QUIMICA HALLER LTDA;2;rxcui_ok anvisa_ok
Ertapenem;ertapenem;Frasco 1 g po;1 g;Clinica, UTI;325642;;;;;0;rxcui_ok
Gentamicina;gentamicina;Ampola 2 mL;40 mg/mL;Emergencia, Clinica, Pediatria;1596450;105830595;SULFATO DE GENTAMICINA;Inativo;45992062000165 - GERMED FARMACEUTICA LTDA;170;rxcui_ok anvisa_ok
Amicacina;amicacina;Ampola 2 mL;250 mg/mL;UTI, Clinica;641;114020008;NOVAMICACIM;Inativo;06629745000109 - NOVAFARMA IND�STRIA FARMAC�UTICA LTDA;1;rxcui_ok anvisa_ok
Ciprofloxacino;ciprofloxacino;Frasco 100 mL;2 mg/mL;Emergencia, Clinica;235851;137640015;FLOXEN;Inativo;02433631000120 - ASPEN PHARMA IND�STRIA FARMAC�UTICA LTDA;29;rxcui_ok anvisa_ok
Levofloxacino;levofloxacino;Frasco 100 mL;5 mg/mL;Emergencia, Clinica;82122;112130455;LEVOFLOXACINO;Inativo;53162095000106 - BIOSINT�TICA FARMAC�UTICA LTDA;15;rxcui_ok anvisa_ok
Metronidazol;metronidazol;Frasco 100 mL;5 mg/mL;Cirurgia, Clinica;103866;110850014;NIDAZOFARMA;Ativo;06628333000146 - FARMACE IND�STRIA QU�MICO-FARMAC�UTICA CEARENSE LTDA;81;rxcui_ok anvisa_ok
Clindamicina;clindamicina;Ampola 4 mL;150 mg/mL;Clinica, Emergencia;2582;112080062;LQFE - CLINDAMICINA;Inativo;00394452000103 - LABORAT�RIO QU�MICO FARMAC�UTICO DO EX�RCITO;3;rxcui_ok anvisa_ok
Vancomicina;vancomicina;Frasco 500 mg po;500 mg;UTI, Emergencia, Clinica;11124;111020002;EDICIN;Inativo;43295831000140 - INTERLAB FARMAC�UTICA LTDA;3;rxcui_ok anvisa_ok
Teicoplanina;teicoplanina;Frasco 400 mg po;400 mg;UTI, Clinica;57021;189000032;TEICOSTON;Inativo;13382686000174 - ARISTON IND�STRIAS QU�MICAS E FARMAC�UTICAS LTDA;22;rxcui_ok anvisa_ok
Linezolida;linezolida;Frasco 300 mL;2 mg/mL;UTI, Clinica;190376;100431168;LINEZOLIDA;Ativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;27;rxcui_ok anvisa_ok
Polimixina B;polimixina b;Frasco 500000 UI po;500000 UI;UTI;8536;116370171;SULFATO DE POLIMIXINA B;Ativo;58430828000160 - BLAU FARMAC�UTICA S.A.;53;rxcui_ok anvisa_ok
Sulfametoxazol + trimetoprima;sulfametoxazol trimetoprima;Ampola 5 mL;400 + 80 mg;Clinica;10831;103850003;BACFAR;Ativo;83874628000143 - LABORAT�RIO FARMAC�UTICO ELOFAR LTDA;102;rxcui_ok anvisa_ok
Fluconazol;fluconazol;Frasco 100 mL;2 mg/mL;UTI, Clinica;4450;100380057;FLUCOTIL;Inativo;46179008000168 - BRASTERAPICA PHARMACEUTICA LTDA.;98;rxcui_ok anvisa_ok
Anfotericina B desoxicolato;anfotericina b desoxicolato;Frasco 50 mg po;50 mg;UTI;732;100630225;ANFOLIP B;Inativo;33258401000103 - INSTITUTO BIOCHIMICO IND�STRIA FARMAC�UTICA LTDA;18;rxcui_ok anvisa_ok
Anfotericina B lipossomal;anfotericina b lipossomal;Frasco 50 mg po;50 mg;UTI;732;100630225;ANFOLIP B;Inativo;33258401000103 - INSTITUTO BIOCHIMICO IND�STRIA FARMAC�UTICA LTDA;18;rxcui_ok anvisa_ok
Midazolam;midazolam;Ampola 3 mL;5 mg/mL;Emergencia, UTI, Anestesia;142441;103700750;TELOZAM;Ativo;17159229000176 - LABORAT�RIO TEUTO BRASILEIRO S/A;12;rxcui_ok anvisa_ok
Diazepam;diazepam;Ampola 2 mL;5 mg/mL;Emergencia;3322;102350899;DISTONIL GI;Inativo;57507378000365 - EMS S/A;49;rxcui_ok anvisa_ok
Lorazepam;lorazepam;Ampola 1 mL;4 mg/mL;UTI;6470;100890320;LORAZEPAM;Inativo;33069212000184 - MERCK S/A;24;rxcui_ok anvisa_ok
Propofol;propofol;Ampola 20 mL;10 mg/mL;UTI, Anestesia;8782;105530227;PROPOABBOTT;Inativo;56998701000116 - ABBOTT LABORAT�RIOS DO BRASIL LTDA;22;rxcui_ok anvisa_ok
Etomidato;etomidato;Ampola 10 mL;2 mg/mL;Emergencia;4177;112360023;HYPNOMIDATE;Inativo;51780468000187 - JANSSEN-CILAG FARMAC�UTICA LTDA;5;rxcui_ok anvisa_ok
Cetamina;cetamina;Ampola 10 mL;50 mg/mL;Emergencia, UTI, Anestesia;203184;100630253;NEWCET;Inativo;33258401000103 - INSTITUTO BIOCHIMICO IND�STRIA FARMAC�UTICA LTDA;11;rxcui_ok anvisa_ok
Rocuronio;rocuronio;Frasco 5 mL;10 mg/mL;UTI, Anestesia, Emergencia;32521;;;;;0;rxcui_ok
Atracurio;atracurio;Ampola 5 mL;10 mg/mL;UTI, Anestesia;1218;;;;;0;rxcui_ok
Cisatracurio;cisatracurio;Ampola 5 mL;2 mg/mL;UTI, Anestesia;136561;;;;;0;rxcui_ok
Succinilcolina;succinilcolina;Frasco 5 mL;20 mg/mL;Emergencia, Anestesia;10154;;;;;0;rxcui_ok
Vecuronio;vecuronio;Frasco 10 mg po;10 mg;Anestesia, UTI;71535;;;;;0;rxcui_ok
Fenitoina;fenitoina;Ampola 5 mL;50 mg/mL;Emergencia, UTI;8183;112090023;FUNED - FENITO�NA;Ativo;17503475000101 - FUNDA��O EZEQUIEL DIAS - FUNED;13;rxcui_ok anvisa_ok
Fenobarbital;fenobarbital;Ampola 2 mL;100 mg/mL;Emergencia, Clinica, Pediatria;8134;126250001;LFM-FENOBARBITAL;Inativo;00394502007157 - LABORAT�RIO FARMAC�UTICO DA MARINHA;24;rxcui_ok anvisa_ok
Valproato de sodio;valproato de sodio;Ampola 3 mL;100 mg/mL;Emergencia, UTI;11118;120330033;VALPAKINE;Inativo;61099966000112 - SANOFI - SYNTHELABO FARMAC�UTICA LTDA;14;rxcui_ok anvisa_ok
Levetiracetam;levetiracetam;Frasco 5 mL;100 mg/mL;Emergencia, UTI;114477;100431500;SPARK XR;Ativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;53;rxcui_ok anvisa_ok
Clonazepam;clonazepam;Ampola 1 mL;1 mg/mL;Emergencia, Pediatria;2598;100470466;CLONAZEPAM (PORT. 344/98 - LISTA B1);Inativo;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;58;rxcui_ok anvisa_ok
Insulina regular;insulina regular;Frasco 10 mL;100 UI/mL;Emergencia, UTI, Clinica;253182;105740005;IOLIN R;Inativo;16921603000166 - NOVO NORDISK PRODU��O FARMAC�UTICA DO BRASIL LTDA;2;rxcui_ok anvisa_ok
Insulina NPH;insulina nph;Frasco 10 mL;100 UI/mL;Clinica, Emergencia;1605101;105740009;IOLIN N;Inativo;16921603000166 - NOVO NORDISK PRODU��O FARMAC�UTICA DO BRASIL LTDA;3;rxcui_ok anvisa_ok
Insulina glargina;insulina glargina;Frasco 3 mL;100 UI/mL;Clinica;274783;133480001;GLARGILIN;Ativo;04752991000110 - BIOMM SA;12;rxcui_ok anvisa_ok
Glucagon;glucagon;Frasco 1 mg po;1 mg;Emergencia;253170;117660014;GLUCAGEN;Ativo;82277955000155 - NOVO NORDISK FARMAC�UTICA DO BRASIL LTDA;1;rxcui_ok anvisa_ok
Desmopressina;desmopressina;Frasco 1 mL;4 mcg/mL;UTI, Pediatria;3251;128760001;DDAVP;Inativo;74232034000148 - LABORAT�RIOS FERRING LTDA;10;rxcui_ok anvisa_ok
Ocitocina;ocitocina;Ampola 1 mL;5 UI/mL;Obstetricia, Emergencia;1733680;100430105;NAOX;Inativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;7;rxcui_ok anvisa_ok
Misoprostol;misoprostol;Comprimido 25 mcg;25 mcg;Obstetricia, Emergencia;42331;115570044;PROSTOKOS;Ativo;08939548000103 - INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;2;rxcui_ok anvisa_ok
Carboprost;carboprost;Ampola 1 mL;250 mcg/mL;Obstetricia;2051;;;;;0;rxcui_ok
Hidralazina;hidralazina;Ampola 1 mL;20 mg/mL;Emergencia, Obstetricia;5470;104971539;APRESOLINA;Ativo;60665981000118 - UNI�O QU�MICA FARMAC�UTICA NACIONAL S/A;3;rxcui_ok anvisa_ok
Nifedipino;nifedipino;Comprimido 10 mg;10 mg;Emergencia, Obstetricia;7417;110390112;FURP -NIFEDIPINA;Inativo;43640754000119 - FUNDA��O PARA O REM�DIO POPULAR - FURP;12;rxcui_ok anvisa_ok
Salbutamol;salbutamol;Frasco 20 mL;0,5 mg/mL;Emergencia, Pediatria, Clinica;142153;100580099;BUTOVENT PULVINAL;Inativo;61363032000146 - CHIESI FARMAC�UTICA LTDA;8;rxcui_ok anvisa_ok
Fenoterol;fenoterol;Frasco 20 mL;0,5 mg/mL;Pediatria, Emergencia;4333;100430610;SUPRAFEN;Inativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;1;rxcui_ok anvisa_ok
Ipratropio;ipratropio;Frasco 20 mL;0,25 mg/mL;Pediatria, Emergencia;1309404;;;;;0;rxcui_ok
Aminofilina;aminofilina;Ampola 10 mL;24 mg/mL;Clinica, Pediatria;689;101830020;LAFEPE - AMINOFILINA;Inativo;10877926000113 - LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIG;55;rxcui_ok anvisa_ok
Teofilina;teofilina;Ampola 10 mL;24 mg/mL;Clinica;10438;103110058;TEOFILIM;Inativo;01571702000198 - HALEX ISTAR IND�STRIA FARMAC�UTICA SA;17;rxcui_ok anvisa_ok
