principio_ativo;apresentacao;concentracao;setor_uso
Hidralazina;Ampola 1 mL;20 mg/mL;Emergencia, Obstetricia
Nifedipino;Comprimido 10 mg;10 mg;Emergencia, Obstetricia
Salbutamol;Frasco 20 mL;0,5 mg/mL;Emergencia, Pediatria, Clinica
Fenoterol;Frasco 20 mL;0,5 mg/mL;Pediatria, Emergencia
Ipratropio;Frasco 20 mL;0,25 mg/mL;Pediatria, Emergencia
Aminofilina;Ampola 10 mL;24 mg/mL;Clinica, Pediatria
Teofilina;Ampola 10 mL;24 mg/mL;Clinica
Levotiroxina;Comprimido 100 mcg;100 mcg;Clinica
Esomeprazol;Frasco 40 mg po;40 mg;UTI, Clinica
Ferro sacarato;Ampola 5 mL;20 mg/mL;Clinica
Cianocobalamina;Ampola 1 mL;1000 mcg/mL;Clinica
Acido folico;Ampola 1 mL;5 mg/mL;Clinica, Obstetricia
Laculose;Frasco 100 mL;667 mg/mL;Clinica
Nistatina oral;Frasco 50 mL;100000 UI/mL;Clinica, Pediatria
Colistina;Frasco 150 mg po;150 mg;UTI
Voriconazol;Frasco 200 mg po;200 mg;UTI
Caspofungina;Frasco 50 mg po;50 mg;UTI
Micafungina;Frasco 50 mg po;50 mg;UTI
Aciclovir;Frasco 250 mg po;250 mg;UTI, Clinica
Ganciclovir;Frasco 500 mg po;500 mg;UTI
Tranexamico;Ampola 5 mL;100 mg/mL;Emergencia, Cirurgia, Obstetricia
Acido aminocaproico;Frasco 20 mL;250 mg/mL;Cirurgia, UTI
Tenecteplase;Frasco 50 mg po;50 mg;Emergencia
Alteplase;Frasco 50 mg po;50 mg;Emergencia, UTI
Estreptoquinase;Frasco 1500000 UI po;1500000 UI;Emergencia
Oseltamivir;Frasco 75 mg po;75 mg;Clinica
Hidroxicloroquina;Comprimido 400 mg;400 mg;Clinica
Amantadina;Comprimido 100 mg;100 mg;Clinica
Rimantadina;Comprimido 100 mg;100 mg;Clinica
Zidovudina;Frasco 200 mg po;200 mg;Clinica
Morfina (dose pediátrica);Ampola 1 mL;1 mg/mL;Pediatria, Emergencia
Paracetamol (ampola);Ampola 2 mL;10 mg/mL;Pediatria
Dipirona (gotas);Frasco 10 mL;500 mg/mL;Pediatria, Clinica
Ondansetrona (comprimido);Comprimido 8 mg;8 mg;Clinica
Prometazina (comprimido);Comprimido 25 mg;25 mg;Clinica
Haloperidol (comprimido);Comprimido 5 mg;5 mg;Clinica
Diazepam (comprimido);Comprimido 10 mg;10 mg;Clinica
Clonazepam (comprimido);Comprimido 2 mg;2 mg;Clinica
Carbamazepina;Comprimido 200 mg;200 mg;Clinica
Fenitoina (comprimido);Comprimido 100 mg;100 mg;Clinica
Valproato de sodio (comprimido);Comprimido 250 mg;250 mg;Clinica
Levetiracetam (comprimido);Comprimido 500 mg;500 mg;Clinica
Metformina;Comprimido 500 mg;500 mg;Clinica
Glibenclamida;Comprimido 5 mg;5 mg;Clinica
Captopril;Comprimido 25 mg;25 mg;Emergencia, Clinica
Enalapril;Comprimido 10 mg;10 mg;Clinica
Losartana;Comprimido 50 mg;50 mg;Clinica
Anlodipino;Comprimido 5 mg;5 mg;Clinica
Hidroclorotiazida;Comprimido 25 mg;25 mg;Clinica
Espironolactona;Comprimido 25 mg;25 mg;Clinica
Atenolol;Comprimido 50 mg;50 mg;Clinica
Carvedilol;Comprimido 6,25 mg;6,25 mg;Clinica
Amiodarona (comprimido);Comprimido 200 mg;200 mg;Clinica
Digoxina (comprimido);Comprimido 0,25 mg;0,25 mg;Clinica
Warfarina;Comprimido 5 mg;5 mg;Clinica
Rivaroxabana;Comprimido 20 mg;20 mg;Clinica
Apixabana;Comprimido 5 mg;5 mg;Clinica
Clopidogrel;Comprimido 75 mg;75 mg;Clinica, Emergencia
AAS;Comprimido 100 mg;100 mg;Clinica, Emergencia
Atorvastatina;Comprimido 20 mg;20 mg;Clinica
Prednisona;Comprimido 20 mg;20 mg;Clinica
Levotiroxina (comprimido);Comprimido 100 mcg;100 mcg;Clinica
Acido folico (comprimido);Comprimido 5 mg;5 mg;Clinica, Obstetricia
Sulfato ferroso;Comprimido 40 mg Fe;40 mg;Clinica
Metotrexato (comprimido);Comprimido 2,5 mg;2,5 mg;Oncologia, Clinica
Hidroxiureia (comprimido);Comprimido 500 mg;500 mg;Oncologia
Fluconazol (comprimido);Comprimido 150 mg;150 mg;Clinica
Aciclovir (comprimido);Comprimido 200 mg;200 mg;Clinica
Azitromicina;Comprimido 500 mg;500 mg;Clinica, Emergencia
Claritromicina;Comprimido 500 mg;500 mg;Clinica
Doxiciclina;Comprimido 100 mg;100 mg;Clinica
Ciprofloxacino (comprimido);Comprimido 500 mg;500 mg;Clinica
Levofloxacino (comprimido);Comprimido 500 mg;500 mg;Clinica
Nitrofurantoina;Comprimido 100 mg;100 mg;Clinica
Cefalexina;Comprimido 500 mg;500 mg;Clinica
Amoxicilina;Comprimido 500 mg;500 mg;Clinica, Pediatria
Metronidazol (comprimido);Comprimido 250 mg;250 mg;Clinica, Cirurgia
Albendazol;Comprimido 400 mg;400 mg;Clinica, Pediatria
Ivermectina;Comprimido 6 mg;6 mg;Clinica
Oseltamivir (comprimido);Comprimido 75 mg;75 mg;Clinica
Baloxavir;Comprimido 40 mg;40 mg;Clinica
